task_name,combined_model_name,NDCG@10
SciFact,Alibaba-NLP_gte-Qwen2-1.5B-instruct,0.5807
SciFact,Alibaba-NLP_gte-Qwen2-1.5B-instruct___BAAI_bge-large-en-v1.5,0.74642
SciFact,Alibaba-NLP_gte-Qwen2-1.5B-instruct___BAAI_bge-small-en-v1.5,0.71533
SciFact,Alibaba-NLP_gte-Qwen2-1.5B-instruct___Snowflake_snowflake-arctic-embed-m-v1.5,0.71759
SciFact,Alibaba-NLP_gte-Qwen2-1.5B-instruct___dunzhang_stella_en_1.5B_v5,0.79885
SciFact,BAAI_bge-large-en-v1.5,0.7463
SciFact,BAAI_bge-large-en-v1.5___BAAI_bge-small-en-v1.5,0.74799
SciFact,BAAI_bge-large-en-v1.5___Snowflake_snowflake-arctic-embed-m-v1.5,0.74638
SciFact,BAAI_bge-large-en-v1.5___dunzhang_stella_en_1.5B_v5,0.80061
SciFact,BAAI_bge-small-en-v1.5,0.71285
SciFact,BAAI_bge-small-en-v1.5___Snowflake_snowflake-arctic-embed-m-v1.5,0.72868
SciFact,BAAI_bge-small-en-v1.5___dunzhang_stella_en_1.5B_v5,0.80069
SciFact,Snowflake_snowflake-arctic-embed-m-v1.5,0.71586
SciFact,Snowflake_snowflake-arctic-embed-m-v1.5___dunzhang_stella_en_1.5B_v5,0.79584
SciFact,dunzhang_stella_en_1.5B_v5,0.79891
TRECCOVID,Alibaba-NLP_gte-Qwen2-1.5B-instruct___BAAI_bge-large-en-v1.5,0.75005
TRECCOVID,Alibaba-NLP_gte-Qwen2-1.5B-instruct___BAAI_bge-small-en-v1.5,0.76193
TRECCOVID,Alibaba-NLP_gte-Qwen2-1.5B-instruct___Snowflake_snowflake-arctic-embed-m-v1.5,0.84668
TRECCOVID,BAAI_bge-large-en-v1.5,0.74809
TRECCOVID,BAAI_bge-large-en-v1.5___BAAI_bge-small-en-v1.5,0.76159
TRECCOVID,BAAI_bge-large-en-v1.5___Snowflake_snowflake-arctic-embed-m-v1.5,0.8204
TRECCOVID,BAAI_bge-large-en-v1.5___dunzhang_stella_en_1.5B_v5,0.85947
TRECCOVID,BAAI_bge-small-en-v1.5,0.75767
TRECCOVID,BAAI_bge-small-en-v1.5___Snowflake_snowflake-arctic-embed-m-v1.5,0.85188
TRECCOVID,BAAI_bge-small-en-v1.5___dunzhang_stella_en_1.5B_v5,0.85076
TRECCOVID,Snowflake_snowflake-arctic-embed-m-v1.5,0.84543
TRECCOVID,Snowflake_snowflake-arctic-embed-m-v1.5___dunzhang_stella_en_1.5B_v5,0.84635
TRECCOVID,dunzhang_stella_en_1.5B_v5,0.85129
